Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,222.699997,228.759995,222.449997,228.199997,225.775177,1221600
2023-05-09,227.559998,228.880005,225.440002,225.460007,223.064316,747900
2023-05-10,225.940002,227.110001,224.720001,226.190002,223.786545,672300
2023-05-11,223.440002,225.050003,223.009995,224.869995,222.480560,1772000
2023-05-12,224.610001,228.050003,223.460007,227.750000,225.329971,970000
2023-05-15,229.279999,230.350006,227.389999,230.330002,227.882568,1334300
2023-05-16,230.190002,230.190002,226.169998,226.690002,224.281219,1249600
2023-05-17,226.399994,231.539993,225.460007,230.720001,228.268417,1359300
2023-05-18,230.509995,232.970001,229.690002,232.149994,229.683212,1487500
2023-05-19,233.380005,236.089996,233.000000,235.289993,232.789841,1365500
2023-05-22,235.619995,236.979996,234.949997,235.460007,232.958054,1715600
2023-05-23,235.000000,237.820007,234.160004,235.910004,233.403259,1289600
2023-05-24,236.380005,236.380005,232.190002,232.300003,229.831619,1187300
2023-05-25,231.330002,233.080002,228.460007,232.139999,229.673309,1206400
2023-05-26,232.520004,234.279999,231.770004,232.880005,230.405472,881500
2023-05-30,236.910004,238.550003,235.419998,237.059998,234.541046,1591200
2023-05-31,237.500000,243.660004,237.300003,242.970001,240.388245,2051300
2023-06-01,242.240005,243.179993,241.210007,242.699997,240.121094,1178800
2023-06-02,243.250000,246.410004,243.009995,245.419998,242.812210,1065300
2023-06-05,245.100006,246.710007,243.529999,244.169998,241.575485,946900
2023-06-06,248.429993,248.429993,241.860001,242.500000,239.923233,1158700
2023-06-07,241.529999,244.070007,239.690002,243.320007,240.734528,1012300
2023-06-08,243.440002,245.149994,242.419998,244.410004,241.812943,731600
2023-06-09,243.669998,244.550003,241.429993,241.610001,239.042694,983800
2023-06-12,242.080002,244.589996,241.289993,244.440002,241.842621,928600
2023-06-13,244.000000,247.729996,243.330002,247.410004,244.781052,1239800
2023-06-14,247.570007,248.119995,245.850006,247.009995,244.385315,1112800
2023-06-15,247.940002,250.139999,247.580002,249.190002,246.542160,1125600
2023-06-16,249.990005,249.990005,245.460007,246.029999,243.415726,1504800
2023-06-20,245.860001,246.949997,243.630005,243.740005,241.150055,880100
2023-06-21,243.729996,246.729996,242.479996,246.279999,243.663086,987700
2023-06-22,247.389999,247.759995,243.490005,245.270004,242.663803,776500
2023-06-23,245.270004,245.619995,241.410004,242.380005,239.804520,1028000
2023-06-26,242.520004,242.520004,240.259995,242.419998,239.844086,743800
2023-06-27,242.770004,247.440002,242.050003,246.990005,244.365524,935000
2023-06-28,246.139999,247.529999,244.229996,246.779999,244.157745,928100
2023-06-29,246.860001,248.460007,246.020004,246.850006,244.227020,1148900
2023-06-30,242.050003,248.529999,238.000000,246.130005,243.514679,2903100
2023-07-03,246.250000,249.250000,245.660004,247.470001,244.840408,1265100
2023-07-05,245.759995,252.600006,245.720001,251.000000,248.332901,1457400
2023-07-06,249.539993,253.130005,248.669998,252.589996,249.906021,1440300
2023-07-07,253.070007,255.169998,252.169998,253.490005,250.796463,1435700
2023-07-10,253.619995,254.729996,250.440002,251.720001,249.045273,841000
2023-07-11,251.979996,253.100006,250.690002,252.470001,249.787292,774200
2023-07-12,253.199997,253.289993,250.199997,250.899994,248.233978,952600
2023-07-13,250.860001,253.130005,250.550003,252.750000,250.064316,621300
2023-07-14,252.669998,255.630005,251.410004,255.470001,252.755417,816800
2023-07-17,254.610001,255.479996,253.639999,254.559998,251.855087,781600
2023-07-18,254.250000,257.350006,253.830002,254.330002,251.627533,806100
2023-07-19,261.500000,269.380005,260.839996,267.929993,265.082977,3234600
2023-07-20,267.429993,269.329987,266.049988,269.200012,266.339539,1530100
2023-07-21,269.980011,270.369995,268.010010,269.500000,266.636353,1237200
2023-07-24,270.220001,271.299988,269.299988,271.260010,268.377655,801900
2023-07-25,270.220001,271.540009,269.489990,271.380005,268.496368,730700
2023-07-26,270.989990,272.869995,270.829987,272.200012,269.307648,788100
2023-07-27,272.540009,273.440002,270.109985,270.570007,267.694977,1284000
2023-07-28,272.170013,272.880005,270.850006,272.500000,269.604431,921200
2023-07-31,272.179993,272.950012,271.089996,272.799988,269.901245,950400
2023-08-01,272.230011,272.929993,269.679993,270.029999,267.160706,714600
2023-08-02,269.329987,271.869995,268.739990,269.529999,266.666016,936900
2023-08-03,269.140015,269.750000,267.130005,268.730011,265.874512,956000
2023-08-04,268.920013,269.989990,267.399994,268.019989,265.172058,1184000
2023-08-07,268.660004,271.410004,267.959991,270.630005,267.754333,925100
2023-08-08,270.630005,273.649994,270.000000,270.989990,268.110474,1059600
2023-08-09,271.239990,272.160004,270.309998,270.549988,268.557190,733100
2023-08-10,271.000000,271.700012,268.399994,268.609985,266.631470,711000
2023-08-11,268.679993,269.160004,267.440002,267.679993,265.708344,670300
2023-08-14,268.760010,268.760010,266.899994,267.649994,265.678528,748000
2023-08-15,266.820007,267.190002,265.510010,265.700012,263.742920,529600
2023-08-16,265.799988,265.950012,262.690002,262.820007,260.884155,643800
2023-08-17,262.910004,263.299988,256.959991,257.359985,255.464340,1013800
2023-08-18,257.000000,258.609985,256.649994,257.070007,255.176498,1382700
2023-08-21,257.130005,259.260010,255.720001,258.989990,257.082336,825400
2023-08-22,258.690002,259.459991,256.619995,257.320007,255.424667,635000
2023-08-23,258.329987,262.440002,258.329987,262.049988,260.119812,957500
2023-08-24,262.630005,262.670013,258.029999,258.269989,256.367615,765600
2023-08-25,259.559998,260.119995,257.929993,259.489990,257.578644,409200
2023-08-28,259.480011,262.149994,259.480011,261.899994,259.970886,507800
2023-08-29,261.529999,262.230011,259.750000,261.269989,259.345551,723800
2023-08-30,261.160004,261.720001,258.779999,260.859985,258.938568,879500
2023-08-31,260.450012,261.790009,259.690002,260.559998,258.640778,802500
2023-09-01,261.559998,261.989990,258.269989,259.480011,257.568756,667300
2023-09-05,259.579987,260.089996,256.750000,257.500000,255.603317,786200
2023-09-06,260.500000,260.500000,257.959991,258.809998,256.903656,823900
2023-09-07,259.470001,260.760010,258.519989,259.559998,257.648163,817900
2023-09-08,260.109985,260.250000,258.850006,259.200012,257.290833,692900
2023-09-11,259.320007,260.609985,258.730011,259.500000,257.588593,753600
2023-09-12,259.350006,261.079987,258.519989,260.670013,258.749969,556900
2023-09-13,261.329987,261.779999,258.679993,260.179993,258.263580,648100
2023-09-14,261.250000,263.140015,260.260010,262.850006,260.913910,616400
2023-09-15,261.549988,262.279999,259.570007,260.339996,258.422424,2033400
2023-09-18,261.679993,261.869995,259.339996,260.690002,258.769836,650600
2023-09-19,260.429993,261.649994,259.239990,260.000000,258.084900,1029200
2023-09-20,261.790009,263.660004,260.750000,261.899994,259.970886,663600
2023-09-21,260.820007,261.450012,256.410004,256.470001,254.580902,721000
2023-09-22,260.000000,261.890015,255.910004,256.029999,254.144150,796600
2023-09-25,255.389999,256.700012,254.740005,256.450012,254.561066,588800
2023-09-26,255.639999,256.190002,253.309998,253.399994,251.533524,593100
2023-09-27,253.350006,253.990005,250.020004,250.589996,248.744202,649000
2023-09-28,250.889999,253.600006,250.149994,251.610001,249.756699,580500
2023-09-29,252.960007,253.630005,250.470001,251.330002,249.478760,706600
2023-10-02,250.460007,251.259995,246.710007,248.639999,246.808578,845200
2023-10-03,248.639999,250.639999,246.830002,248.330002,246.500870,1126800
2023-10-04,248.979996,250.429993,247.509995,249.360001,247.523285,1264800
2023-10-05,243.250000,246.240005,239.949997,241.330002,239.552414,2460600
2023-10-06,239.800003,240.130005,233.000000,236.610001,234.867188,2587200
2023-10-09,235.669998,236.009995,234.020004,235.089996,233.358383,1376500
2023-10-10,237.399994,238.399994,236.389999,237.899994,236.147690,1884700
2023-10-11,238.550003,240.759995,238.050003,239.000000,237.239594,1048200
2023-10-12,239.139999,239.139999,227.880005,228.389999,226.707733,1922900
2023-10-13,227.750000,231.970001,227.500000,231.690002,229.983429,1111400
2023-10-16,232.940002,236.070007,232.500000,234.789993,233.060593,1088900
2023-10-17,233.289993,238.240005,232.770004,237.800003,236.048431,1322400
2023-10-18,237.399994,238.809998,233.179993,233.429993,231.710602,1186200
2023-10-19,233.800003,236.809998,232.690002,233.199997,231.482300,1047700
2023-10-20,234.470001,234.880005,229.889999,230.389999,228.693008,874300
2023-10-23,229.869995,233.899994,228.250000,231.860001,230.152176,1216500
2023-10-24,232.770004,237.259995,232.539993,234.669998,232.941483,1024400
2023-10-25,234.539993,237.699997,233.179993,234.020004,232.296280,922400
2023-10-26,235.089996,235.860001,231.039993,231.380005,229.675705,884000
2023-10-27,230.699997,231.020004,227.639999,229.619995,227.928680,902400
2023-10-30,231.479996,235.160004,230.710007,234.100006,232.375687,894000
2023-10-31,235.210007,236.100006,233.330002,234.149994,232.425308,850200
2023-11-01,234.889999,237.949997,234.070007,234.210007,232.484879,1017000
2023-11-02,234.740005,239.300003,233.399994,238.000000,237.148117,1154400
2023-11-03,240.279999,243.970001,240.199997,241.679993,240.814941,1286800
2023-11-06,242.380005,244.559998,241.160004,241.559998,240.695374,1426500
2023-11-07,240.990005,243.660004,240.330002,242.520004,241.651947,1391400
2023-11-08,243.279999,243.710007,240.880005,241.500000,240.635590,1041900
2023-11-09,241.690002,241.690002,238.529999,238.949997,238.094711,1209600
2023-11-10,236.699997,240.500000,235.759995,239.320007,238.463409,1387500
2023-11-13,239.889999,241.330002,239.250000,240.850006,239.987930,861800
2023-11-14,242.809998,242.889999,240.679993,241.889999,241.024200,861100
2023-11-15,241.699997,241.699997,238.380005,239.539993,238.682602,1266200
2023-11-16,239.449997,239.729996,235.779999,236.589996,235.743164,1269100
2023-11-17,236.940002,236.940002,234.169998,235.630005,234.786606,1156200
2023-11-20,234.949997,237.830002,233.779999,236.949997,236.101883,905500
2023-11-21,237.320007,237.320007,233.289993,234.270004,233.431473,1219800
2023-11-22,235.929993,239.580002,235.570007,239.039993,238.184387,925100
2023-11-24,237.910004,238.619995,237.229996,238.369995,237.516800,357500
2023-11-27,238.139999,238.460007,236.500000,237.990005,237.138168,836400
2023-11-28,238.160004,242.800003,238.000000,241.770004,240.904633,1397000
2023-11-29,242.240005,243.279999,236.850006,237.949997,237.098297,1206700
2023-11-30,238.220001,240.589996,237.880005,240.490005,239.629211,963600
2023-12-01,242.020004,243.000000,239.600006,241.949997,241.083984,970200
2023-12-04,240.539993,243.369995,239.789993,240.309998,239.449844,1322300
2023-12-05,239.899994,240.490005,233.500000,236.660004,235.812927,1247400
2023-12-06,235.960007,237.110001,232.610001,235.100006,234.258514,1231700
2023-12-07,235.279999,236.539993,233.770004,235.860001,235.015778,1047300
2023-12-08,235.559998,236.630005,234.179993,234.440002,233.600861,901100
2023-12-11,235.220001,236.369995,234.009995,235.699997,234.856354,804100
2023-12-12,236.720001,236.770004,234.710007,235.830002,234.985886,1273700
2023-12-13,236.000000,244.070007,234.750000,242.589996,241.721695,1241800
2023-12-14,243.320007,244.410004,240.929993,241.029999,240.167282,1282500
2023-12-15,239.990005,240.229996,235.479996,236.460007,235.613647,1722900
2023-12-18,237.630005,239.250000,235.960007,238.889999,238.034943,1229500
2023-12-19,239.440002,241.589996,239.130005,241.089996,240.227066,1025400
2023-12-20,239.679993,240.380005,234.740005,235.070007,234.228622,1322200
2023-12-21,236.500000,237.619995,235.169998,235.869995,235.025742,1127900
2023-12-22,236.970001,239.279999,236.110001,237.880005,237.028549,875400
2023-12-26,237.470001,240.440002,237.179993,238.990005,238.134583,568000
2023-12-27,238.679993,240.210007,238.259995,240.119995,239.260529,602900
2023-12-28,240.110001,242.449997,240.110001,242.160004,241.293243,824000
2023-12-29,242.220001,242.820007,241.380005,241.750000,240.884705,741300
2024-01-02,240.639999,245.050003,240.490005,243.889999,243.017044,1250500
2024-01-03,243.649994,244.339996,241.190002,241.419998,240.555878,1609100
2024-01-04,242.240005,243.559998,241.860001,242.330002,241.462631,1331300
2024-01-05,244.500000,253.089996,243.300003,247.529999,246.644012,2633200
2024-01-08,248.149994,251.690002,248.149994,250.000000,249.105164,2083700
2024-01-09,249.270004,253.600006,247.029999,253.539993,252.632492,1449800
2024-01-10,253.179993,255.789993,252.509995,254.770004,253.858109,1846500
2024-01-11,255.000000,257.760010,254.330002,257.420013,256.498627,1701000
2024-01-12,258.320007,260.299988,257.450012,258.299988,257.375458,1515300
2024-01-16,259.670013,259.959991,255.220001,255.380005,254.465912,1244800
2024-01-17,254.429993,255.649994,252.440002,252.660004,251.755646,1068600
2024-01-18,251.559998,254.449997,251.380005,253.649994,252.742096,699800
2024-01-19,254.500000,255.940002,251.330002,253.949997,253.041031,947900
2024-01-22,254.380005,255.360001,251.529999,251.630005,250.729340,828500
2024-01-23,251.179993,253.250000,250.899994,252.990005,252.084473,797000
2024-01-24,252.039993,252.850006,247.289993,247.410004,246.524445,1153400
2024-01-25,248.699997,250.270004,248.259995,250.210007,249.314423,797500
2024-01-26,251.419998,251.929993,249.059998,249.500000,248.606964,1078500
2024-01-29,249.000000,250.960007,247.160004,250.800003,249.902313,1473700
2024-01-30,250.470001,250.990005,246.710007,248.429993,247.540787,950500
2024-01-31,248.250000,248.580002,243.850006,245.080002,244.202789,1116300
2024-02-01,245.500000,252.679993,244.470001,252.679993,251.775574,1036400
2024-02-02,252.130005,252.149994,248.570007,250.589996,249.693054,1168300
2024-02-05,248.839996,249.960007,246.559998,247.059998,246.175690,1322300
2024-02-06,246.960007,249.669998,246.009995,248.649994,247.759995,1099200
2024-02-07,245.899994,246.770004,241.169998,244.419998,244.419998,994300
2024-02-08,244.000000,244.229996,241.800003,243.050003,243.050003,1138700
2024-02-09,242.449997,244.520004,241.589996,242.550003,242.550003,1219200
2024-02-12,243.169998,248.119995,242.889999,247.080002,247.080002,1365400
2024-02-13,245.050003,247.029999,242.910004,244.580002,244.580002,933500
2024-02-14,244.559998,244.889999,242.399994,243.600006,243.600006,667400
2024-02-15,244.720001,246.149994,242.979996,244.899994,244.899994,703600
2024-02-16,243.960007,246.089996,242.119995,243.839996,243.839996,834600
2024-02-20,244.039993,248.570007,244.039993,245.259995,245.259995,744100
2024-02-21,245.750000,247.470001,244.479996,245.610001,245.610001,603800
2024-02-22,245.580002,247.309998,244.050003,245.699997,245.699997,1154500
2024-02-23,245.470001,248.600006,244.610001,247.229996,247.229996,910900
2024-02-26,247.020004,248.330002,245.649994,246.820007,246.820007,1108300
2024-02-27,246.259995,248.190002,244.839996,247.089996,247.089996,1172500
